"(530, 81)","(526, 80)","(522, 80)","(518, 79)","(514, 79)","(510, 79)","(506, 78)","(502, 78)","(498, 78)","(495, 77)","(491, 77)","(487, 77)","(483, 76)","(480, 76)","(476, 76)","(472, 76)","(469, 75)","(465, 75)","(461, 75)","(458, 75)","(454, 74)","(450, 74)","(447, 74)","(443, 74)","(440, 73)","(436, 73)","(432, 73)","(429, 73)","(425, 72)","(422, 72)","(419, 72)","(415, 72)","(412, 72)","(408, 72)","(405, 71)","(401, 71)","(398, 71)","(395, 71)","(391, 71)","(388, 71)","(385, 71)","(381, 70)","(378, 70)","(375, 70)","(372, 70)","(368, 70)","(365, 70)","(362, 70)","(359, 70)","(356, 70)","(353, 70)","(349, 69)","(346, 69)","(343, 69)","(340, 69)","(337, 69)","(334, 69)","(331, 69)","(328, 69)","(325, 69)","(322, 69)","(319, 69)","(316, 69)","(313, 69)","(310, 69)","(307, 69)","(304, 69)","(301, 69)","(299, 69)","(296, 69)","(293, 69)","(290, 69)","(287, 69)","(285, 69)","(282, 70)","(279, 70)","(276, 70)","(274, 70)","(271, 70)","(268, 70)","(266, 70)","(263, 70)","(260, 70)","(258, 70)","(255, 71)","(252, 71)","(250, 71)","(247, 71)","(245, 71)","(242, 71)","(240, 72)","(237, 72)","(235, 72)","(232, 72)","(230, 72)","(227, 72)","(225, 73)","(223, 73)","(220, 73)","(218, 73)","(216, 74)"
"(35, 290)","(37, 286)","(39, 283)","(42, 279)","(45, 276)","(47, 273)","(50, 269)","(53, 266)","(55, 263)","(58, 260)","(61, 257)","(64, 253)","(67, 250)","(70, 247)","(73, 244)","(76, 241)","(80, 238)","(83, 235)","(86, 232)","(89, 229)","(93, 226)","(96, 223)","(100, 221)","(103, 218)","(107, 215)","(111, 212)","(114, 209)","(118, 207)","(122, 204)","(126, 201)","(130, 199)","(134, 196)","(138, 193)","(142, 191)","(146, 188)","(150, 186)","(154, 183)","(158, 181)","(163, 179)","(167, 176)","(172, 174)","(176, 171)","(181, 169)","(185, 167)","(190, 165)","(194, 162)","(199, 160)","(204, 158)","(209, 156)","(214, 154)","(219, 152)","(223, 149)","(229, 147)","(234, 145)","(239, 143)","(244, 141)","(249, 139)","(254, 138)","(260, 136)","(265, 134)","(271, 132)","(276, 130)","(282, 128)","(287, 127)","(293, 125)","(298, 123)","(304, 121)","(310, 120)","(316, 118)","(322, 117)","(328, 115)","(334, 114)","(340, 112)","(346, 111)","(352, 109)","(358, 108)","(364, 106)","(371, 105)","(377, 103)","(383, 102)","(390, 101)","(396, 100)","(403, 98)","(410, 97)","(416, 96)","(423, 95)","(430, 94)","(436, 93)","(443, 91)","(450, 90)","(457, 89)","(464, 88)","(471, 87)","(478, 86)","(485, 85)","(493, 85)","(500, 84)","(507, 83)","(515, 82)","(522, 81)","(530, 81)"
"(472, 254)","(469, 253)","(467, 253)","(464, 253)","(461, 253)","(459, 253)","(456, 253)","(453, 252)","(451, 252)","(448, 252)","(445, 252)","(442, 252)","(439, 252)","(436, 252)","(433, 252)","(430, 252)","(427, 252)","(424, 252)","(421, 252)","(418, 252)","(415, 252)","(411, 252)","(408, 252)","(405, 252)","(401, 252)","(398, 252)","(395, 252)","(391, 253)","(388, 253)","(384, 253)","(380, 253)","(377, 253)","(373, 253)","(369, 254)","(366, 254)","(362, 254)","(358, 254)","(354, 254)","(350, 255)","(346, 255)","(342, 255)","(338, 255)","(334, 256)","(330, 256)","(326, 256)","(322, 257)","(318, 257)","(313, 257)","(309, 258)","(305, 258)","(301, 259)","(296, 259)","(292, 259)","(287, 260)","(283, 260)","(278, 261)","(274, 261)","(269, 262)","(264, 262)","(260, 262)","(255, 263)","(250, 263)","(245, 264)","(240, 265)","(235, 265)","(230, 266)","(226, 266)","(220, 267)","(215, 267)","(210, 268)","(205, 269)","(200, 269)","(195, 270)","(190, 271)","(184, 271)","(179, 272)","(174, 273)","(168, 273)","(163, 274)","(157, 275)","(152, 275)","(146, 276)","(141, 277)","(135, 278)","(129, 278)","(124, 279)","(118, 280)","(112, 281)","(106, 282)","(100, 283)","(95, 283)","(89, 284)","(83, 285)","(77, 286)","(71, 287)","(65, 288)","(58, 289)","(52, 290)","(46, 291)","(40, 292)","(34, 293)"
"(141, 503)","(140, 499)","(139, 496)","(138, 493)","(137, 490)","(137, 487)","(136, 484)","(136, 481)","(136, 478)","(136, 475)","(135, 472)","(135, 469)","(135, 466)","(136, 463)","(136, 460)","(136, 457)","(137, 454)","(137, 451)","(138, 448)","(138, 445)","(139, 442)","(140, 439)","(141, 436)","(142, 434)","(143, 431)","(144, 428)","(145, 425)","(147, 422)","(148, 419)","(150, 417)","(151, 414)","(153, 411)","(155, 408)","(157, 406)","(158, 403)","(161, 400)","(163, 398)","(165, 395)","(167, 392)","(170, 390)","(172, 387)","(175, 384)","(177, 382)","(180, 379)","(183, 377)","(186, 374)","(189, 372)","(192, 369)","(195, 367)","(198, 364)","(202, 362)","(205, 359)","(208, 357)","(212, 354)","(216, 352)","(219, 349)","(223, 347)","(227, 344)","(231, 342)","(235, 340)","(240, 337)","(244, 335)","(248, 333)","(253, 330)","(257, 328)","(262, 326)","(267, 323)","(271, 321)","(276, 319)","(281, 317)","(286, 314)","(292, 312)","(297, 310)","(302, 308)","(308, 306)","(313, 303)","(319, 301)","(324, 299)","(330, 297)","(336, 295)","(342, 293)","(348, 291)","(354, 289)","(360, 287)","(366, 284)","(373, 282)","(379, 280)","(386, 278)","(392, 276)","(399, 274)","(406, 272)","(413, 271)","(420, 269)","(427, 267)","(434, 265)","(441, 263)","(448, 261)","(456, 259)","(463, 257)","(471, 255)","(479, 254)"
"(655, 383)","(646, 382)","(638, 382)","(629, 382)","(621, 382)","(613, 382)","(605, 382)","(597, 382)","(589, 382)","(581, 382)","(573, 382)","(565, 382)","(558, 383)","(550, 383)","(542, 383)","(535, 383)","(527, 383)","(520, 384)","(513, 384)","(506, 384)","(498, 385)","(491, 385)","(484, 386)","(477, 386)","(470, 386)","(464, 387)","(457, 388)","(450, 388)","(443, 389)","(437, 389)","(430, 390)","(424, 391)","(418, 391)","(411, 392)","(405, 393)","(399, 394)","(393, 394)","(387, 395)","(381, 396)","(375, 397)","(369, 398)","(363, 399)","(358, 400)","(352, 401)","(346, 402)","(341, 403)","(336, 404)","(330, 405)","(325, 406)","(320, 407)","(315, 409)","(309, 410)","(304, 411)","(299, 412)","(295, 414)","(290, 415)","(285, 416)","(280, 418)","(276, 419)","(271, 420)","(267, 422)","(262, 423)","(258, 425)","(254, 426)","(249, 428)","(245, 430)","(241, 431)","(237, 433)","(233, 435)","(229, 436)","(226, 438)","(222, 440)","(218, 441)","(215, 443)","(211, 445)","(208, 447)","(204, 449)","(201, 451)","(197, 453)","(194, 455)","(191, 457)","(188, 459)","(185, 461)","(182, 463)","(179, 465)","(176, 467)","(174, 469)","(171, 472)","(168, 474)","(166, 476)","(163, 478)","(161, 481)","(159, 483)","(156, 485)","(154, 488)","(152, 490)","(150, 492)","(148, 495)","(146, 497)","(144, 500)","(143, 503)"
"(789, 137)","(784, 139)","(780, 142)","(776, 145)","(772, 148)","(768, 151)","(764, 154)","(760, 157)","(757, 159)","(753, 162)","(749, 165)","(746, 168)","(742, 171)","(739, 173)","(735, 176)","(732, 179)","(729, 182)","(725, 185)","(722, 187)","(719, 190)","(716, 193)","(713, 195)","(710, 198)","(707, 201)","(704, 204)","(701, 206)","(699, 209)","(696, 212)","(693, 214)","(691, 217)","(688, 220)","(686, 222)","(683, 225)","(681, 227)","(679, 230)","(677, 233)","(675, 235)","(672, 238)","(670, 240)","(668, 243)","(667, 245)","(665, 248)","(663, 251)","(661, 253)","(659, 256)","(658, 258)","(656, 261)","(655, 263)","(653, 266)","(652, 268)","(651, 271)","(649, 273)","(648, 275)","(647, 278)","(646, 280)","(645, 283)","(644, 285)","(643, 288)","(642, 290)","(641, 292)","(640, 295)","(640, 297)","(639, 299)","(638, 302)","(638, 304)","(637, 306)","(637, 309)","(637, 311)","(636, 313)","(636, 316)","(636, 318)","(636, 320)","(636, 322)","(636, 325)","(636, 327)","(636, 329)","(636, 331)","(636, 334)","(637, 336)","(637, 338)","(637, 340)","(638, 343)","(638, 345)","(639, 347)","(639, 349)","(640, 351)","(641, 353)","(642, 355)","(643, 358)","(644, 360)","(645, 362)","(646, 364)","(647, 366)","(648, 368)","(649, 370)","(650, 372)","(652, 374)","(653, 376)","(654, 378)","(656, 380)","(658, 383)"
"(337, 129)","(341, 129)","(345, 129)","(349, 129)","(353, 129)","(357, 129)","(361, 129)","(365, 130)","(370, 130)","(374, 130)","(378, 130)","(382, 130)","(386, 130)","(391, 130)","(395, 130)","(399, 131)","(403, 131)","(407, 131)","(412, 131)","(416, 131)","(420, 131)","(424, 131)","(429, 131)","(433, 131)","(437, 132)","(442, 132)","(446, 132)","(450, 132)","(455, 132)","(459, 132)","(463, 132)","(468, 132)","(472, 132)","(476, 132)","(481, 132)","(485, 133)","(489, 133)","(494, 133)","(498, 133)","(503, 133)","(507, 133)","(511, 133)","(516, 133)","(520, 133)","(525, 133)","(529, 133)","(534, 133)","(538, 133)","(543, 133)","(547, 133)","(552, 134)","(556, 134)","(560, 134)","(565, 134)","(570, 134)","(574, 134)","(579, 134)","(583, 134)","(588, 134)","(592, 134)","(597, 134)","(601, 134)","(606, 134)","(611, 134)","(615, 134)","(620, 134)","(624, 134)","(629, 134)","(634, 134)","(638, 134)","(643, 134)","(647, 134)","(652, 134)","(657, 134)","(661, 134)","(666, 134)","(671, 134)","(676, 134)","(680, 134)","(685, 134)","(690, 134)","(694, 134)","(699, 134)","(704, 134)","(709, 134)","(713, 134)","(718, 134)","(723, 134)","(728, 134)","(732, 134)","(737, 134)","(742, 134)","(747, 134)","(752, 134)","(756, 134)","(761, 134)","(766, 134)","(771, 134)","(776, 134)","(781, 134)","(786, 134)"
"(589, 250)","(586, 249)","(584, 248)","(582, 248)","(579, 247)","(577, 246)","(575, 246)","(572, 245)","(570, 244)","(567, 244)","(565, 243)","(563, 242)","(560, 241)","(558, 241)","(556, 240)","(553, 239)","(551, 238)","(548, 237)","(546, 237)","(544, 236)","(541, 235)","(539, 234)","(536, 233)","(534, 232)","(532, 232)","(529, 231)","(527, 230)","(524, 229)","(522, 228)","(520, 227)","(517, 226)","(515, 225)","(512, 224)","(510, 223)","(507, 222)","(505, 221)","(502, 220)","(500, 219)","(497, 218)","(495, 217)","(493, 216)","(490, 215)","(488, 214)","(485, 213)","(483, 211)","(480, 210)","(478, 209)","(475, 208)","(473, 207)","(470, 206)","(468, 205)","(465, 203)","(462, 202)","(460, 201)","(457, 200)","(455, 198)","(452, 197)","(450, 196)","(447, 195)","(445, 193)","(442, 192)","(440, 191)","(437, 189)","(434, 188)","(432, 187)","(429, 185)","(427, 184)","(424, 183)","(421, 181)","(419, 180)","(416, 178)","(414, 177)","(411, 176)","(408, 174)","(406, 173)","(403, 171)","(401, 170)","(398, 168)","(395, 167)","(393, 165)","(390, 164)","(387, 162)","(385, 160)","(382, 159)","(380, 157)","(377, 156)","(374, 154)","(372, 153)","(369, 151)","(366, 149)","(364, 148)","(361, 146)","(358, 144)","(355, 143)","(353, 141)","(350, 139)","(347, 137)","(345, 136)","(342, 134)","(339, 132)","(337, 131)"
"(286, 344)","(289, 344)","(293, 344)","(297, 344)","(301, 344)","(305, 344)","(309, 344)","(313, 343)","(316, 343)","(320, 343)","(324, 343)","(328, 343)","(331, 343)","(335, 343)","(339, 343)","(343, 342)","(346, 342)","(350, 342)","(353, 342)","(357, 341)","(361, 341)","(364, 341)","(368, 340)","(371, 340)","(375, 340)","(378, 339)","(382, 339)","(385, 338)","(389, 338)","(392, 338)","(396, 337)","(399, 337)","(402, 336)","(406, 335)","(409, 335)","(413, 334)","(416, 334)","(419, 333)","(422, 332)","(426, 332)","(429, 331)","(432, 330)","(435, 330)","(439, 329)","(442, 328)","(445, 328)","(448, 327)","(451, 326)","(454, 325)","(457, 324)","(461, 324)","(464, 323)","(467, 322)","(470, 321)","(473, 320)","(476, 319)","(479, 318)","(482, 317)","(485, 316)","(487, 315)","(490, 314)","(493, 313)","(496, 312)","(499, 311)","(502, 310)","(505, 309)","(507, 307)","(510, 306)","(513, 305)","(516, 304)","(518, 303)","(521, 301)","(524, 300)","(527, 299)","(529, 298)","(532, 296)","(535, 295)","(537, 294)","(540, 292)","(542, 291)","(545, 289)","(547, 288)","(550, 287)","(552, 285)","(555, 284)","(557, 282)","(560, 281)","(562, 279)","(565, 278)","(567, 276)","(570, 274)","(572, 273)","(574, 271)","(577, 270)","(579, 268)","(581, 266)","(584, 264)","(586, 263)","(588, 261)","(590, 259)","(593, 258)"
"(729, 352)","(728, 356)","(727, 361)","(726, 366)","(725, 370)","(724, 375)","(723, 380)","(722, 384)","(721, 388)","(720, 393)","(718, 397)","(717, 401)","(716, 405)","(714, 409)","(712, 413)","(711, 417)","(709, 421)","(707, 424)","(705, 428)","(703, 432)","(701, 435)","(699, 439)","(697, 442)","(695, 445)","(692, 449)","(690, 452)","(688, 455)","(685, 458)","(682, 461)","(680, 464)","(677, 467)","(674, 469)","(671, 472)","(668, 475)","(665, 477)","(662, 480)","(659, 482)","(656, 484)","(653, 487)","(649, 489)","(646, 491)","(642, 493)","(639, 495)","(635, 497)","(631, 499)","(628, 501)","(624, 502)","(620, 504)","(616, 506)","(612, 507)","(608, 509)","(603, 510)","(599, 511)","(595, 512)","(590, 514)","(586, 515)","(581, 516)","(577, 517)","(572, 517)","(567, 518)","(562, 519)","(557, 520)","(552, 520)","(547, 521)","(542, 521)","(537, 522)","(532, 522)","(526, 522)","(521, 522)","(515, 523)","(510, 523)","(504, 523)","(499, 522)","(493, 522)","(487, 522)","(481, 522)","(475, 521)","(469, 521)","(463, 520)","(457, 520)","(450, 519)","(444, 518)","(438, 518)","(431, 517)","(425, 516)","(418, 515)","(411, 514)","(405, 513)","(398, 511)","(391, 510)","(384, 509)","(377, 507)","(370, 506)","(363, 504)","(355, 503)","(348, 501)","(341, 499)","(333, 497)","(326, 496)","(318, 494)","(311, 492)"
"(729, 303)","(729, 303)","(728, 303)","(728, 303)","(729, 303)","(729, 303)","(728, 303)","(728, 302)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(728, 303)","(729, 303)","(729, 302)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 302)","(728, 302)","(729, 303)","(728, 303)","(728, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(728, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 302)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(728, 303)","(729, 302)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(728, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 302)","(729, 303)","(729, 302)","(728, 302)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)","(729, 303)"
